Alexander FATHOULLIN POSITION,Alexander FATHOULLIN LAP TIME,Alexander FATHOULLIN ELAPSED TIME,KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,XU Fu POSITION,XU Fu LAP TIME,XU Fu ELAPSED TIME
1,12.44,12.44,2,12.53,12.53,3,12.62,12.62,5,12.89,12.89,4,12.73,
2,9.55,21.99,1,9.32,21.85,4,9.58,22.20,5,9.42,22.31,3,9.39,
2,9.04,31.03,1,9.11,30.96,5,9.30,31.50,4,9.04,31.35,3,9.03,
2,8.92,39.95,1,8.95,39.91,5,9.05,40.55,4,8.85,40.20,3,8.88,
1,8.78,48.73,2,8.95,48.86,5,8.77,49.32,4,8.85,49.05,3,8.93,
1,8.99,57.72,2,8.96,57.82,5,8.91,58.23,4,8.95,58.00,3,8.89,
1,9.06,1:06.78,4,9.24,1:07.06,5,9.04,1:07.27,3,8.99,1:06.99,2,9.04,
1,9.30,1:16.08,3,9.22,1:16.28,5,9.31,1:16.58,2,9.21,1:16.20,4,9.43,
1,9.49,1:25.57,2,9.34,1:25.62,5,9.74,1:26.32,4,9.55,1:25.75,3,9.40,
