Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME
2,13.502,13.502,1,13.317,13.317,3,13.605,13.605,4,13.623,13.623
2,11.026,24.527,1,11.158,24.474,4,11.183,24.787,3,11.146,24.769
3,10.678,35.205,2,10.717,35.191,1,10.304,35.091,4,10.570,35.338
4,10.079,45.283,3,10.059,45.249,2,10.000,45.090,1,9.640,44.978
4,9.531,54.814,3,9.372,54.621,2,9.511,54.601,1,9.375,54.353
4,9.374,1:04.187,3,9.497,1:04.118,2,9.509,1:04.110,1,9.498,1:03.851
4,9.758,1:13.945,3,9.674,1:13.791,2,9.610,1:13.720,1,9.649,1:13.499
4,9.683,1:23.627,3,9.567,1:23.357,2,9.553,1:23.272,1,9.753,1:23.252
4,9.72,1:33.342,3,9.88,1:33.233,1,9.78,1:33.047,2,9.93,1:33.175
