WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Antoine GELINAS- BEAULIEU POSITION,Antoine GELINAS- BEAULIEU LAP TIME,Antoine GELINAS- BEAULIEU ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
3,13.87,13.87,2,13.81,13.81,1,13.62,13.62,4,14.13,14.13
4,10.26,24.13,2,10.16,23.97,1,10.08,23.70,3,9.85,23.98
2,9.83,33.96,3,10.01,33.98,1,10.06,33.76,4,10.02,34.00
2,9.65,43.61,4,9.81,43.79,1,9.76,43.52,3,9.78,43.78
2,9.49,53.10,3,9.34,53.13,1,9.36,52.88,4,9.63,53.41
3,9.51,1:02.61,2,9.43,1:02.56,1,9.42,1:02.30,4,9.28,1:02.69
3,9.39,1:12.00,2,9.37,1:11.93,1,9.36,1:11.66,4,9.42,1:12.11
3,9.82,1:21.82,2,9.72,1:21.65,1,9.55,1:21.21,4,9.90,1:22.01
2,9.79,1:31.608,4,10.06,1:31.709,1,10.04,1:31.246,3,9.69,1:31.697
