Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,Leyla YILMAZ POSITION,Leyla YILMAZ LAP TIME,Leyla YILMAZ ELAPSED TIME,Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME,Garazi GANUZA POSITION,Garazi GANUZA LAP TIME,Garazi GANUZA ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME
4,9.58,9.58,2,9.48,9.48,6,9.84,9.84,5,9.70,9.70,3,9.56,9.56,1,9.44,9.44
5,12.67,22.25,3,12.63,22.11,6,12.52,22.36,4,12.54,22.24,2,12.45,22.01,1,12.46,21.90
1,10.95,33.20,2,11.26,33.37,6,11.87,34.23,4,11.73,33.97,5,12.15,34.16,3,11.58,33.48
1,11.01,44.21,2,10.95,44.32,5,11.06,45.29,4,10.56,44.53,6,12.08,46.24,3,10.95,44.43
1,11.58,55.79,2,11.57,55.89,5,11.13,56.42,4,11.64,56.17,6,12.42,58.66,3,11.64,56.07
1,11.46,1:07.25,2,11.46,1:07.35,5,11.32,1:07.74,4,11.41,1:07.58,6,12.41,1:11.07,3,11.41,1:07.48
1,11.07,1:18.32,2,11.03,1:18.38,5,11.34,1:19.08,4,11.05,1:18.63,6,12.64,1:23.71,3,11.06,1:18.54
1,10.86,1:29.18,2,10.90,1:29.28,5,11.43,1:30.51,4,10.86,1:29.49,6,12.75,1:36.46,3,10.85,1:29.39
1,10.81,1:39.99,2,10.81,1:40.09,5,11.61,1:42.12,4,10.79,1:40.28,6,13.17,1:49.63,3,10.75,1:40.14
2,10.15,1:50.14,3,10.15,1:50.24,5,11.82,1:53.94,4,10.03,1:50.31,6,13.11,2:02.74,1,9.88,1:50.02
3,10.24,2:00.38,4,10.18,2:00.42,5,12.24,2:06.18,2,10.02,2:00.33,6,13.02,2:15.76,1,10.10,2:00.12
3,10.28,2:10.66,4,10.61,2:11.03,5,12.75,2:18.93,2,10.19,2:10.52,6,13.57,2:29.33,1,10.30,2:10.42
3,10.10,2:20.76,4,10.61,2:21.64,5,13.21,2:32.14,2,10.07,2:20.59,6,13.25,2:42.58,1,10.08,2:20.50
3,10.57,2:31.322,4,12.15,2:33.787,5,13.01,2:45.149,2,10.41,2:30.998,6,13.40,2:55.978,1,10.45,2:30.947
