Zen Sheng Sian KOH POSITION,Zen Sheng Sian KOH LAP TIME,Zen Sheng Sian KOH ELAPSED TIME,Stribor SUMAN POSITION,Stribor SUMAN LAP TIME,Stribor SUMAN ELAPSED TIME,Triphop THONGNGAM POSITION,Triphop THONGNGAM LAP TIME,Triphop THONGNGAM ELAPSED TIME,Mykyta KHOCHYN POSITION,Mykyta KHOCHYN LAP TIME,Mykyta KHOCHYN ELAPSED TIME
4,14.46,14.46,2,14.21,14.21,3,14.38,14.38,1,14.04,14.04
3,10.93,25.39,2,11.07,25.28,4,11.15,25.53,1,11.10,25.14
3,10.41,35.80,2,10.39,35.67,4,10.33,35.86,1,10.39,35.53
2,9.68,45.48,4,9.93,45.60,3,9.63,45.49,1,9.83,45.36
3,9.42,54.90,4,9.50,55.10,1,9.20,54.69,2,9.52,54.88
2,9.75,1:04.65,3,9.56,1:04.66,1,9.22,1:03.91,4,9.95,1:04.83
2,9.88,1:14.53,3,10.07,1:14.73,1,9.58,1:13.49,4,10.00,1:14.83
2,10.13,1:24.66,3,10.03,1:24.76,1,9.80,1:23.29,4,10.21,1:25.04
2,10.41,1:35.072,3,10.34,1:35.100,1,10.05,1:33.346,4,10.45,1:35.494
