Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME
2,14.663,14.663,3,14.879,14.879,4,14.938,14.938,1,14.504,14.504,5,15.029,15.029
2,11.230,25.892,3,11.093,25.971,4,11.055,25.993,1,11.263,25.766,5,11.017,26.046
2,11.454,37.346,3,11.539,37.509,4,11.604,37.596,1,11.439,37.205,5,11.724,37.769
3,10.902,48.248,4,10.831,48.340,1,10.595,48.191,2,10.997,48.201,5,10.736,48.505
3,9.803,58.050,4,9.959,58.298,2,9.747,57.937,1,9.727,57.927,5,10.678,59.183
3,9.853,1:07.903,4,9.672,1:07.970,1,9.699,1:07.636,2,9.732,1:07.659,5,10.719,1:09.901
4,9.870,1:17.773,3,9.495,1:17.465,2,9.816,1:17.451,1,9.745,1:17.404,5,11.262,1:21.163
4,10.077,1:27.849,1,9.590,1:27.055,3,9.963,1:27.414,2,9.897,1:27.301,5,11.648,1:32.810
4,10.44,1:38.286,1,9.96,1:37.015,3,10.11,1:37.520,2,10.18,1:37.479,5,12.15,1:44.956
