JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,Serdar ILTIR POSITION,Serdar ILTIR LAP TIME,Serdar ILTIR ELAPSED TIME,Yoan GAUTHIER POSITION,Yoan GAUTHIER LAP TIME,Yoan GAUTHIER ELAPSED TIME
3,13.49,13.49,1,13.36,13.36,2,13.41,13.41,4,13.59,13.59
4,10.64,24.13,2,10.56,23.92,3,10.65,24.06,1,10.24,23.83
4,9.71,33.84,2,9.79,33.71,3,9.74,33.80,1,9.78,33.61
3,9.42,43.26,2,9.37,43.08,4,9.57,43.37,1,9.30,42.91
3,8.96,52.22,2,9.00,52.08,4,9.05,52.42,1,9.09,52.00
3,9.04,1:01.26,2,9.01,1:01.09,4,9.05,1:01.47,1,8.99,1:00.99
3,8.95,1:10.21,2,8.99,1:10.08,4,9.26,1:10.73,1,8.91,1:09.90
3,9.49,1:19.70,2,9.42,1:19.50,4,9.61,1:20.34,1,8.95,1:18.85
3,9.45,1:29.146,2,9.65,1:29.142,4,9.92,1:30.253,1,9.37,1:28.216
