Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME
3,9.10,9.10,4,9.25,9.25,2,9.01,9.01,1,8.80,8.80,5,9.47,9.47
3,12.37,21.47,4,12.33,21.58,2,12.32,21.33,1,12.42,21.22,5,12.35,21.82
3,11.06,32.53,4,10.96,32.54,2,11.10,32.43,1,11.12,32.34,5,10.94,32.76
4,10.40,42.93,1,10.07,42.61,3,10.46,42.89,2,10.40,42.74,5,10.38,43.14
4,10.32,53.25,1,10.29,52.90,3,10.25,53.14,2,10.27,53.01,5,10.25,53.39
4,10.46,1:03.71,1,10.51,1:03.41,3,10.48,1:03.62,2,10.51,1:03.52,5,10.48,1:03.87
4,10.60,1:14.31,1,10.59,1:14.00,3,10.58,1:14.20,2,10.57,1:14.09,5,10.58,1:14.45
4,10.32,1:24.63,1,10.36,1:24.36,3,10.24,1:24.44,2,10.32,1:24.41,5,10.31,1:24.76
5,9.83,1:34.46,3,9.96,1:34.32,1,9.50,1:33.94,2,9.81,1:34.22,4,9.69,1:34.45
5,9.85,1:44.31,4,9.87,1:44.19,2,9.72,1:43.66,3,9.85,1:44.07,1,9.20,1:43.65
5,9.87,1:54.18,4,9.95,1:54.14,2,9.52,1:53.18,3,10.01,1:54.08,1,9.45,1:53.10
4,10.12,2:04.30,3,9.92,2:04.06,2,9.53,2:02.71,5,10.56,2:04.64,1,9.53,2:02.63
4,10.37,2:14.67,3,10.09,2:14.15,2,9.75,2:12.46,5,11.15,2:15.79,1,9.73,2:12.36
4,10.72,2:25.384,3,10.63,2:24.779,2,10.00,2:22.458,5,12.07,2:27.859,1,10.00,2:22.356
