LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME
4,7.00,7.00,1,6.79,6.79,3,6.99,6.99,2,6.90,6.90
3,9.01,16.01,1,8.80,15.59,3,9.02,16.01,2,8.92,15.82
3,8.39,24.40,1,8.52,24.11,4,8.47,24.48,2,8.44,24.26
3,8.54,32.94,2,8.78,32.89,4,8.60,33.08,1,8.52,32.78
3,,42.171,2,9.24,42.111,4,,42.174,1,8.83,41.597
