April SHIN POSITION,April SHIN LAP TIME,April SHIN ELAPSED TIME,SON Hakyung POSITION,SON Hakyung LAP TIME,SON Hakyung ELAPSED TIME,Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME,SZILICZEI-NEMET Rebeka POSITION,SZILICZEI-NEMET Rebeka LAP TIME,SZILICZEI-NEMET Rebeka ELAPSED TIME
2,7.92,7.92,3,8.07,8.07,1,7.70,7.70,4,8.24,8.24
2,10.13,18.05,3,10.05,18.12,1,9.99,17.69,4,10.15,18.39
3,9.82,27.87,2,9.48,27.60,1,9.68,27.37,4,9.59,27.98
3,9.77,37.64,2,9.63,37.23,1,9.83,37.20,4,9.85,37.83
3,10.03,47.665,1,9.67,46.898,2,10.06,47.256,4,10.02,47.842
