Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,LI Haonan POSITION,LI Haonan LAP TIME,LI Haonan ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,Tamas HELFRIH POSITION,Tamas HELFRIH LAP TIME,Tamas HELFRIH ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME
1,9.384,9.384,2,9.427,9.427,3,9.560,9.560,5,9.909,9.909,4,9.895,9.895,6,9.942,9.942
1,13.328,22.711,2,13.339,22.766,3,13.347,22.906,5,13.457,23.366,4,13.322,23.217,6,13.636,23.577
2,12.240,34.951,1,12.165,34.930,3,12.175,35.081,6,12.207,35.573,4,12.000,35.216,5,11.696,35.273
1,11.873,46.823,2,11.894,46.824,3,11.921,47.002,6,11.928,47.501,5,12.035,47.251,4,11.811,47.083
4,10.905,57.728,2,10.607,57.430,3,10.601,57.603,6,11.084,58.584,5,10.754,58.005,1,10.342,57.424
4,10.302,1:08.030,2,10.334,1:07.764,3,10.304,1:07.906,6,10.460,1:09.044,5,10.093,1:08.097,1,10.122,1:07.546
1,9.760,1:17.789,3,10.291,1:18.055,2,10.061,1:17.967,6,10.176,1:19.220,4,10.015,1:18.112,5,10.592,1:18.138
1,9.902,1:27.690,2,9.676,1:27.730,3,9.788,1:27.755,6,10.723,1:29.942,5,9.909,1:28.020,4,9.726,1:27.863
5,10.042,1:37.732,2,9.758,1:37.487,1,9.575,1:37.329,6,10.965,1:40.906,3,9.681,1:37.701,4,9.855,1:37.718
3,9.885,1:47.617,2,9.787,1:47.274,1,9.804,1:47.133,4,11.284,1:52.190,6,25.408,2:03.109,5,25.281,2:02.999
3,9.957,1:57.574,2,10.050,1:57.323,1,10.064,1:57.196,4,11.741,2:03.930,6,19.027,2:22.135,5,11.600,2:14.598
3,10.268,2:07.842,1,9.652,2:06.975,2,10.037,2:07.233,4,12.048,2:15.977,6,16.794,2:38.928,5,11.201,2:25.798
3,10.233,2:18.074,1,9.953,2:16.927,2,10.198,2:17.430,4,13.273,2:29.250,6,13.015,2:51.943,5,11.385,2:37.183
3,9.95,2:28.016,1,10.70,2:27.625,2,10.48,2:27.908,4,12.52,2:41.770,0,,DQ,5,12.10,2:49.276
