Mukerrem DENIZ POSITION,Mukerrem DENIZ LAP TIME,Mukerrem DENIZ ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,KIM Do Kyoum POSITION,KIM Do Kyoum LAP TIME,KIM Do Kyoum ELAPSED TIME,PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME
4,10.08,,3,9.96,9.96,6,10.38,10.38,5,10.10,10.10,1,9.64,9.64,2,9.80,9.80
3,13.59,,4,14.14,24.10,6,13.93,24.31,5,14.07,24.17,1,13.78,23.42,2,13.75,23.55
3,12.97,,4,12.82,36.92,6,12.94,37.25,5,12.84,37.01,1,12.92,36.34,2,12.95,36.50
4,12.67,,3,12.36,49.28,6,12.35,49.60,5,12.42,49.43,1,12.76,49.10,2,12.72,49.22
4,11.94,,1,11.70,1:00.98,6,11.97,1:01.57,5,11.92,1:01.35,3,12.06,1:01.16,2,11.83,1:01.05
4,11.20,,2,11.26,1:12.24,6,11.07,1:12.64,5,11.24,1:12.59,1,10.94,1:12.10,3,11.32,1:12.37
6,10.56,,2,10.42,1:22.66,1,9.99,1:22.63,5,10.36,1:22.95,3,10.67,1:22.77,4,10.42,1:22.79
4,9.96,,2,10.21,1:32.87,1,10.12,1:32.75,4,10.02,1:32.97,3,10.16,1:32.93,6,10.39,1:33.18
1,9.59,,3,10.02,1:42.89,2,10.01,1:42.76,5,10.15,1:43.12,4,10.07,1:43.00,6,10.13,1:43.31
2,9.75,,3,9.44,1:52.33,1,9.45,1:52.21,5,9.52,1:52.64,4,9.48,1:52.48,6,9.59,1:52.90
6,20.17,,1,9.05,2:01.38,2,9.29,2:01.50,3,9.21,2:01.85,5,15.84,2:08.32,4,9.13,2:02.03
6,20.31,,2,9.07,2:10.45,1,8.84,2:10.34,3,9.17,2:11.02,5,13.03,2:21.35,4,9.11,2:11.14
6,11.93,,2,9.05,2:19.50,1,9.05,2:19.39,3,9.26,2:20.28,5,10.41,2:31.76,4,9.27,2:20.41
6,12.89,,2,9.17,2:28.67,1,9.23,2:28.62,3,9.51,2:29.79,5,10.55,2:42.31,4,9.48,2:29.898
