Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME
1,6.69,6.69,3,7.02,7.02,2,7.01,7.01,4,7.27,7.27
1,9.30,16.00,2,9.09,16.11,3,9.23,16.25,4,9.12,16.39
3,8.88,24.88,1,8.62,24.74,2,8.59,24.85,4,8.65,25.04
3,8.78,33.66,1,8.79,33.54,2,8.70,33.56,4,8.71,33.76
3,9.00,42.654,2,8.98,42.511,1,8.84,42.395,4,9.06,42.815
