Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
2,9.31,9.31,1,9.13,9.13,3,9.46,9.46,5,9.80,9.80,6,9.96,9.96,4,9.68,9.68
2,14.10,23.41,1,14.11,23.24,3,14.07,23.53,5,14.03,23.83,6,13.95,23.91,4,13.98,23.66
2,13.76,37.17,1,13.74,36.98,3,13.76,37.29,5,13.77,37.60,6,13.79,37.70,4,13.79,37.45
2,13.48,50.65,1,13.51,50.49,3,13.46,50.75,5,13.53,51.13,6,13.55,51.25,4,13.50,50.95
2,13.21,1:03.86,1,13.19,1:03.68,3,13.21,1:03.96,5,13.13,1:04.26,6,13.14,1:04.39,4,13.14,1:04.09
3,12.37,1:16.23,2,12.47,1:16.15,1,11.87,1:15.83,5,12.19,1:16.45,6,12.17,1:16.56,4,12.18,1:16.27
4,11.17,1:27.40,3,11.13,1:27.28,2,11.31,1:27.14,5,11.12,1:27.57,6,11.10,1:27.66,1,10.78,1:27.05
2,10.18,1:37.58,4,10.55,1:37.83,1,10.36,1:37.50,6,10.51,1:38.08,5,10.25,1:37.91,3,10.56,1:37.61
2,10.22,1:47.80,4,10.20,1:48.03,1,10.20,1:47.70,6,10.20,1:48.28,5,10.22,1:48.13,3,10.30,1:47.91
2,10.05,1:57.85,4,10.06,1:58.09,1,10.06,1:57.76,5,9.91,1:58.19,6,10.06,1:58.19,3,10.06,1:57.97
1,9.50,2:07.35,5,9.68,2:07.77,3,9.81,2:07.57,2,9.21,2:07.40,6,9.70,2:07.89,4,9.71,2:07.68
2,9.18,2:16.53,4,9.49,2:17.26,6,9.82,2:17.39,1,8.98,2:16.38,5,9.48,2:17.37,3,9.38,2:17.06
2,9.18,2:25.71,5,9.41,2:26.67,6,10.30,2:27.69,1,9.25,2:25.63,4,9.28,2:26.65,3,9.54,2:26.60
2,9.34,2:35.042,5,9.89,2:36.553,6,11.47,2:39.160,1,9.41,2:35.040,3,9.64,2:36.291,4,9.81,2:36.403
