Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Christoph MILZ POSITION,Christoph MILZ LAP TIME,Christoph MILZ ELAPSED TIME,Ronald CALDECUTT POSITION,Ronald CALDECUTT LAP TIME,Ronald CALDECUTT ELAPSED TIME,Andrey STARZHINSKIY POSITION,Andrey STARZHINSKIY LAP TIME,Andrey STARZHINSKIY ELAPSED TIME
2,9.62,9.62,5,10.37,10.37,4,10.08,10.08,3,9.78,9.78,1,9.51,9.51
2,12.30,21.92,5,12.01,22.38,4,12.07,22.15,3,12.23,22.01,1,12.32,21.83
2,11.60,33.52,5,11.52,33.90,4,11.58,33.73,3,11.59,33.60,1,11.56,33.39
2,11.31,44.83,5,11.29,45.19,4,11.32,45.05,3,11.32,44.92,1,11.36,44.75
2,11.04,55.87,5,11.04,56.23,4,11.01,56.06,3,11.03,55.95,1,11.04,55.79
2,10.90,1:06.77,5,10.87,1:07.10,4,10.91,1:06.97,3,10.90,1:06.85,1,10.88,1:06.67
1,10.72,1:17.49,5,10.86,1:17.96,4,10.85,1:17.82,3,10.81,1:17.66,2,10.89,1:17.56
1,10.73,1:28.22,5,10.62,1:28.58,4,10.72,1:28.54,3,10.79,1:28.45,2,10.77,1:28.33
1,10.40,1:38.62,5,10.46,1:39.04,4,10.39,1:38.93,2,10.26,1:38.71,3,10.51,1:38.84
1,10.22,1:48.84,5,10.18,1:49.22,3,10.08,1:49.01,2,10.21,1:48.92,4,10.19,1:49.03
1,9.41,1:58.25,4,9.40,1:58.62,3,9.48,1:58.49,2,9.53,1:58.45,5,9.85,1:58.88
1,9.45,2:07.70,4,9.53,2:08.15,2,9.43,2:07.92,3,9.66,2:08.11,5,9.45,2:08.33
1,9.37,2:17.07,3,9.10,2:17.25,2,9.32,2:17.24,5,10.02,2:18.13,4,9.49,2:17.82
1,9.48,2:26.549,2,9.42,2:26.663,3,9.57,2:26.803,5,10.38,2:28.507,4,9.73,2:27.542
