HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
2,8.30,8.30,4,8.57,8.57,3,8.45,8.45,1,8.20,8.20,5,8.62,8.62,6,8.75,8.75
1,11.66,19.96,4,11.70,20.27,2,11.61,20.06,3,11.98,20.18,5,11.73,20.35,6,11.67,20.42
1,10.95,30.91,5,10.96,31.23,2,10.96,31.02,3,10.96,31.14,6,10.94,31.29,4,10.78,31.20
3,10.09,41.00,2,9.75,40.98,4,10.12,41.14,5,10.21,41.35,6,10.17,41.46,1,9.76,40.96
2,9.40,50.40,1,9.39,50.37,3,9.31,50.45,5,9.25,50.60,6,9.24,50.70,4,9.52,50.48
1,9.71,1:00.11,2,9.84,1:00.21,3,9.86,1:00.31,4,9.81,1:00.41,6,9.89,1:00.59,5,10.02,1:00.50
1,9.84,1:09.95,2,9.84,1:10.05,3,9.85,1:10.16,4,9.87,1:10.28,6,9.87,1:10.46,5,9.87,1:10.37
1,9.96,1:19.91,2,9.95,1:20.00,3,9.94,1:20.10,4,9.90,1:20.18,6,9.93,1:20.39,5,9.92,1:20.29
1,9.83,1:29.74,2,9.76,1:29.76,4,9.90,1:30.00,3,9.65,1:29.83,6,9.76,1:30.15,5,9.80,1:30.09
2,9.36,1:39.10,1,9.28,1:39.04,4,9.40,1:39.40,3,9.37,1:39.20,5,9.56,1:39.71,6,9.62,1:39.71
2,9.22,1:48.32,1,9.19,1:48.23,4,9.20,1:48.60,3,9.18,1:48.38,5,9.14,1:48.85,6,9.31,1:49.02
2,9.29,1:57.61,1,9.29,1:57.52,4,9.29,1:57.89,3,9.32,1:57.70,5,9.34,1:58.19,6,9.50,1:58.52
2,9.23,2:06.84,1,9.30,2:06.82,4,9.36,2:07.25,3,9.27,2:06.97,5,9.53,2:07.72,6,10.07,2:08.59
0,,DQ,2,9.83,2:16.649,3,9.77,2:17.015,1,9.49,2:16.458,4,10.04,2:17.759,5,10.89,2:19.473
