LIU Yeran POSITION,LIU Yeran LAP TIME,LIU Yeran ELAPSED TIME,Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME,Dave VERSTEEG POSITION,Dave VERSTEEG LAP TIME,Dave VERSTEEG ELAPSED TIME
4,14.059,14.059,1,13.823,13.823,2,13.925,13.925,3,14.034,14.034
3,10.548,24.606,1,10.687,24.510,2,10.664,24.589,4,10.699,24.733
1,9.772,34.378,2,9.982,34.491,3,9.934,34.523,4,9.879,34.612
1,9.376,43.753,3,9.396,43.886,2,9.354,43.877,4,9.493,44.104
1,9.132,52.885,2,9.106,52.992,3,9.165,53.042,4,9.085,53.189
1,9.152,1:02.036,2,9.107,1:02.099,3,9.110,1:02.151,4,9.123,1:02.312
2,9.181,1:11.217,1,9.108,1:11.206,3,9.104,1:11.255,4,9.183,1:11.495
1,9.281,1:20.497,2,9.313,1:20.519,3,9.377,1:20.632,4,9.258,1:20.753
3,10.21,1:30.706,1,9.55,1:30.064,0,,DQ,2,9.86,1:30.612
