Marta WOJCIK POSITION,Marta WOJCIK LAP TIME,Marta WOJCIK ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,LIN Yue POSITION,LIN Yue LAP TIME,LIN Yue ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME
4,13.63,13.63,2,13.57,13.57,1,13.51,13.51,3,13.63,13.63
4,10.66,24.29,1,10.27,23.84,3,10.65,24.16,2,10.43,24.06
4,9.98,34.27,1,10.20,34.04,3,10.04,34.20,2,10.05,34.11
4,10.27,44.54,1,10.32,44.36,2,10.21,44.41,3,10.33,44.44
4,10.44,54.98,1,10.29,54.65,3,10.47,54.88,2,10.28,54.72
4,10.14,1:05.12,1,10.18,1:04.83,3,10.16,1:05.04,2,10.21,1:04.93
4,9.81,1:14.93,2,9.87,1:14.70,3,9.79,1:14.83,1,9.65,1:14.58
4,9.69,1:24.62,2,9.74,1:24.44,3,9.73,1:24.56,1,9.84,1:24.42
2,9.82,1:34.438,1,9.53,1:33.970,0,,PEN,0,,PEN
