MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,Michaela KUNCIROVA POSITION,Michaela KUNCIROVA LAP TIME,Michaela KUNCIROVA ELAPSED TIME,Monika GRZADKOWSKA POSITION,Monika GRZADKOWSKA LAP TIME,Monika GRZADKOWSKA ELAPSED TIME,SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME
2,13.92,13.92,1,13.81,13.81,3,13.99,13.99,4,14.14,14.14,5,14.16,14.16
2,10.40,24.32,1,10.40,24.21,3,10.41,24.40,4,10.37,24.51,5,10.40,24.56
2,10.22,34.54,1,10.30,34.51,3,10.25,34.65,5,10.44,34.95,4,10.26,34.82
1,10.10,44.64,2,10.21,44.72,4,10.18,44.83,3,9.87,44.82,5,10.04,44.86
1,9.81,54.45,3,9.99,54.71,5,10.32,55.15,2,9.71,54.53,4,10.02,54.88
1,9.80,1:04.25,3,9.96,1:04.67,5,10.15,1:05.30,2,9.82,1:04.35,4,10.16,1:05.04
1,9.94,1:14.19,3,10.09,1:14.76,5,10.40,1:15.70,2,9.94,1:14.29,4,10.51,1:15.55
1,10.20,1:24.39,3,10.51,1:25.27,5,10.82,1:26.52,2,10.24,1:24.53,4,10.62,1:26.17
1,10.67,1:35.06,3,10.88,1:36.15,5,11.59,1:38.097,2,10.94,1:35.47,4,10.96,1:37.115
