Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME
1,13.29,13.29,2,13.36,13.36,4,13.63,13.63,3,13.47,13.47
2,10.85,24.14,1,10.68,24.04,4,10.78,24.41,3,10.77,24.24
2,10.48,34.62,1,10.48,34.52,4,10.45,34.86,3,10.48,34.72
3,9.85,44.47,1,9.77,44.29,4,9.76,44.62,2,9.65,44.37
3,9.15,53.62,1,9.14,53.43,4,9.13,53.75,2,9.17,53.54
3,9.19,1:02.81,1,9.17,1:02.60,4,9.21,1:02.96,2,9.18,1:02.72
3,8.59,1:11.40,1,8.64,1:11.24,4,8.72,1:11.68,2,8.65,1:11.37
2,8.88,1:20.28,1,8.95,1:20.19,4,8.95,1:20.63,3,9.00,1:20.37
2,8.85,1:29.127,1,8.92,1:29.107,4,8.65,1:29.275,3,8.78,1:29.151
