WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,LIN Wei POSITION,LIN Wei LAP TIME,LIN Wei ELAPSED TIME
4,15.058,15.058,2,14.958,14.958,3,14.997,14.997,1,14.693,14.693,5,15.214,15.214
4,11.863,26.921,3,11.757,26.715,2,11.627,26.624,1,11.916,26.609,5,11.888,27.102
4,11.377,38.299,2,11.383,38.097,1,11.393,38.017,3,11.569,38.177,5,11.235,38.337
3,11.195,49.494,1,11.066,49.164,2,11.347,49.364,4,11.381,49.558,5,11.537,49.874
4,10.985,1:00.479,1,10.877,1:00.041,2,10.798,1:00.162,3,10.717,1:00.275,5,10.814,1:00.688
4,10.285,1:10.764,1,10.380,1:10.421,2,10.317,1:10.479,3,10.436,1:10.710,5,10.426,1:11.114
3,9.694,1:20.458,1,9.864,1:20.285,2,9.833,1:20.312,4,10.314,1:21.025,5,10.324,1:21.438
1,9.362,1:29.819,2,9.915,1:30.200,3,9.936,1:30.248,4,10.490,1:31.515,5,11.321,1:32.759
1,9.798,1:39.617,2,10.001,1:40.201,3,10.081,1:40.329,4,10.876,1:42.391,5,11.759,1:44.518
