SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME
2,13.16,13.16,3,13.31,13.31,4,13.49,13.49,1,12.87,
2,9.78,22.94,3,9.80,23.11,4,9.75,23.24,1,9.93,
1,9.45,32.39,3,9.52,32.63,4,9.51,32.75,2,9.65,
1,9.40,41.79,3,9.46,42.09,2,9.30,42.05,4,15.12,
1,9.40,51.19,3,9.41,51.50,2,9.30,51.35,4,14.20,
1,9.40,1:00.59,3,9.38,1:00.88,2,9.39,1:00.74,4,11.01,
1,9.16,1:09.75,3,9.25,1:10.13,2,9.26,1:10.00,4,10.92,
1,8.96,1:18.71,3,9.23,1:19.36,2,9.21,1:19.21,4,10.85,
1,9.08,1:27.79,3,9.56,1:28.92,2,9.43,1:28.64,4,10.95,
