Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,Daniela IVANOVA POSITION,Daniela IVANOVA LAP TIME,Daniela IVANOVA ELAPSED TIME,Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME
1,9.630,9.630,4,10.150,10.150,3,10.040,10.040,5,10.160,10.160,2,9.920,9.920
1,13.960,23.590,3,13.850,24.010,4,14.240,24.290,5,14.150,24.320,2,13.990,23.910
1,12.970,36.560,2,12.790,36.800,5,12.860,37.160,4,12.760,37.080,3,12.950,36.870
1,12.510,49.070,4,12.400,49.200,3,12.030,49.200,5,12.310,49.400,2,12.260,49.130
1,10.610,59.690,5,10.990,1:00.190,2,10.620,59.820,4,10.640,1:00.040,3,10.690,59.830
4,11.040,1:10.730,3,10.520,1:10.720,5,11.290,1:11.110,2,10.630,1:10.680,1,10.800,1:10.630
2,10.210,1:20.940,1,9.990,1:20.710,5,10.360,1:21.480,4,10.590,1:21.280,3,10.460,1:21.100
1,10.550,1:31.500,5,11.700,1:32.420,4,10.750,1:32.240,3,10.670,1:31.960,2,10.820,1:31.920
2,10.350,1:41.850,4,9.870,1:42.290,5,10.090,1:42.330,1,9.850,1:41.810,3,10.230,1:42.160
1,10.100,1:51.950,4,10.220,1:52.510,5,10.640,1:52.970,2,10.280,1:52.090,3,10.280,1:52.440
2,10.360,2:02.320,3,10.500,2:03.010,4,10.080,2:03.060,1,10.090,2:02.180,5,10.680,2:03.120
1,10.330,2:12.660,3,10.120,2:13.140,5,10.680,2:13.750,2,10.580,2:12.770,4,10.060,2:13.190
1,10.280,2:22.940,3,10.660,2:23.810,4,11.090,2:24.840,2,10.330,2:23.100,5,12.530,2:25.720
1,10.500,2:33.440,3,11.180,2:34.990,4,10.730,2:35.570,2,10.800,2:33.900,5,12.190,2:37.920
