LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME,Petr HARGAS POSITION,Petr HARGAS LAP TIME,Petr HARGAS ELAPSED TIME
3,12.76,12.76,2,12.57,12.57,4,12.92,12.92,1,12.42,12.42
3,9.10,21.86,2,9.19,21.76,4,9.09,22.01,1,9.25,21.67
3,9.15,31.01,1,8.99,30.75,4,9.11,31.12,2,9.24,30.91
3,9.31,40.32,1,9.35,40.10,4,9.32,40.44,2,9.33,40.24
3,9.34,49.66,1,9.26,49.36,4,9.32,49.76,2,9.34,49.58
2,9.14,58.80,1,9.34,58.70,4,9.34,59.10,3,9.46,59.04
2,9.21,1:08.01,1,9.23,1:07.93,3,9.54,1:08.64,4,9.70,1:08.74
2,9.33,1:17.34,1,9.34,1:17.27,3,9.45,1:18.09,4,10.05,1:18.79
2,9.39,1:26.723,1,9.44,1:26.701,3,9.76,1:27.844,4,10.27,1:29.054
