Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME
1,9.38,9.38,3,9.52,9.52,2,9.50,9.50,4,9.61,9.61,5,9.64,9.64
2,12.86,22.24,4,12.87,22.39,3,12.89,22.39,5,13.03,22.64,1,12.40,22.04
3,12.03,34.27,4,11.97,34.36,2,11.71,34.10,5,11.84,34.48,1,11.88,33.92
3,12.10,46.37,4,12.11,46.47,2,12.06,46.16,5,12.16,46.64,1,11.96,45.88
3,11.09,57.46,4,11.19,57.66,2,11.27,57.43,5,11.16,57.80,1,11.37,57.25
1,9.95,1:07.41,4,10.13,1:07.79,3,10.29,1:07.72,5,10.15,1:07.95,2,10.36,1:07.61
1,9.05,1:16.46,4,9.23,1:17.02,3,9.23,1:16.95,5,9.37,1:17.32,2,9.23,1:16.84
1,9.76,1:26.22,3,9.32,1:26.34,4,9.44,1:26.39,5,9.79,1:27.11,2,9.48,1:26.32
1,9.85,1:36.07,2,9.80,1:36.14,3,9.84,1:36.23,5,10.15,1:37.26,4,10.02,1:36.34
1,10.06,1:46.13,2,10.07,1:46.21,3,10.07,1:46.30,5,10.38,1:47.64,4,10.07,1:46.41
1,10.06,1:56.19,2,10.06,1:56.27,3,10.07,1:56.37,5,10.86,1:58.50,4,10.07,1:56.48
1,9.96,2:06.15,2,9.99,2:06.26,3,10.01,2:06.38,5,11.43,2:09.93,4,10.01,2:06.49
1,9.65,2:15.80,2,9.62,2:15.88,3,9.61,2:15.99,5,11.62,2:21.55,4,9.61,2:16.10
1,9.79,2:25.582,2,9.81,2:25.685,3,9.77,2:25.755,5,11.97,2:33.516,4,9.77,2:25.863
