Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Gregory DURAND POSITION,Gregory DURAND LAP TIME,Gregory DURAND ELAPSED TIME
3,13.97,13.97,2,13.85,13.85,4,14.22,14.22,1,13.62,13.62
2,10.02,23.99,3,10.14,23.99,4,10.01,24.24,1,10.29,23.91
3,9.63,33.62,1,9.50,33.50,4,9.40,33.65,2,9.68,33.60
4,9.81,43.43,2,9.65,43.16,1,9.42,43.08,3,9.74,43.34
4,9.46,52.89,1,9.50,52.66,2,9.65,52.73,3,9.47,52.81
4,9.41,1:02.31,1,9.25,1:01.91,3,9.56,1:02.30,2,9.30,1:02.12
2,9.16,1:11.47,1,9.47,1:11.39,4,9.72,1:12.02,3,9.50,1:11.62
1,9.02,1:20.50,2,9.48,1:20.87,4,9.46,1:21.48,3,9.76,1:21.39
1,9.66,1:30.158,2,9.47,1:30.334,3,27.69,1:49.170,0,,DQ
