ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME,Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Anne-Sophie DAVREUX POSITION,Anne-Sophie DAVREUX LAP TIME,Anne-Sophie DAVREUX ELAPSED TIME
3,8.75,8.75,4,8.90,8.90,1,8.57,8.57,2,8.73,8.73,6,8.99,8.99,5,8.99,8.99
2,11.85,20.60,4,11.79,20.69,1,11.98,20.55,3,11.92,20.65,5,11.72,20.71,6,11.96,20.95
1,11.60,32.20,4,11.70,32.39,3,11.73,32.28,5,11.77,32.42,2,11.56,32.27,6,11.51,32.46
4,11.10,43.30,6,11.14,43.53,5,11.11,43.39,3,10.74,43.16,2,10.81,43.08,1,10.42,42.88
1,10.41,53.71,5,10.67,54.20,6,10.86,54.25,4,10.94,54.10,3,10.89,53.97,2,10.93,53.81
2,11.02,1:04.73,1,10.42,1:04.62,6,10.98,1:05.23,4,10.83,1:04.93,5,11.14,1:05.11,3,11.02,1:04.83
2,10.94,1:15.67,1,10.99,1:15.61,6,10.90,1:16.13,4,10.96,1:15.89,5,10.91,1:16.02,3,10.95,1:15.78
2,10.99,1:26.66,1,11.02,1:26.63,6,10.89,1:27.02,3,10.85,1:26.74,5,10.93,1:26.95,4,11.03,1:26.81
1,10.27,1:36.93,2,10.38,1:37.01,6,10.54,1:37.56,3,10.34,1:37.08,5,10.50,1:37.45,4,10.48,1:37.29
1,10.54,1:47.47,6,20.36,1:57.37,5,10.42,1:47.98,3,10.79,1:47.87,4,10.50,1:47.95,2,10.58,1:47.87
1,10.52,1:57.99,6,17.56,2:14.93,5,10.80,1:58.78,3,10.38,1:58.25,4,10.51,1:58.46,2,10.20,1:58.07
1,10.51,2:08.50,6,13.01,2:27.94,5,10.50,2:09.28,3,10.47,2:08.72,4,10.30,2:08.76,2,10.56,2:08.63
1,10.37,2:18.87,6,13.10,2:41.04,5,10.45,2:19.73,2,10.25,2:18.97,4,10.50,2:19.26,3,10.50,2:19.13
1,10.31,2:29.176,6,12.92,2:53.956,5,10.58,2:30.309,2,10.35,2:29.317,4,10.38,2:29.637,3,10.43,2:29.555
