LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME
4,12.18,12.18,3,12.02,12.02,1,11.87,11.87,2,11.96,11.96,5,12.23,12.23
4,9.45,21.64,3,9.58,21.61,2,9.52,21.40,1,9.38,21.34,5,9.52,21.75
4,9.59,31.24,3,9.57,31.18,1,9.50,30.90,2,9.59,30.94,5,9.56,31.32
4,9.18,40.42,3,9.12,40.30,2,9.33,40.24,1,9.20,40.14,5,9.19,40.51
4,9.04,49.46,3,9.00,49.31,2,9.07,49.31,1,9.14,49.28,5,9.03,49.54
4,8.88,58.35,2,9.02,58.33,3,9.02,58.34,1,9.03,58.32,5,9.03,58.58
3,8.93,1:07.28,4,8.97,1:07.31,1,8.86,1:07.21,2,8.94,1:07.27,5,8.90,1:07.48
1,9.17,1:16.46,5,9.46,1:16.77,2,9.25,1:16.47,3,9.24,1:16.51,4,9.05,1:16.53
1,9.22,1:25.674,5,9.41,1:26.174,2,9.37,1:25.834,3,9.41,1:25.915,4,9.42,1:25.944
