CHEN Guang POSITION,CHEN Guang LAP TIME,CHEN Guang ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,Rei TOYOFUKU POSITION,Rei TOYOFUKU LAP TIME,Rei TOYOFUKU ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME
2,16.95,16.95,7,17.56,17.56,1,15.85,15.85,3,17.11,17.11,8,17.72,17.72,5,17.32,17.32,4,17.21,17.21,9,17.99,17.99,6,17.42,17.42
6,13.08,30.03,7,12.63,30.19,1,9.22,25.07,4,12.80,29.91,8,12.58,30.30,5,12.68,30.00,2,11.05,28.26,9,12.42,30.41,3,11.79,29.21
6,10.82,40.85,7,10.83,41.02,1,8.81,33.88,5,10.85,40.76,9,10.81,41.11,4,9.77,39.77,2,9.39,37.65,8,10.66,41.07,3,10.12,39.33
6,10.96,51.81,8,11.06,52.08,1,8.90,42.78,5,11.01,51.77,9,11.02,52.13,4,10.61,50.38,2,9.49,47.14,7,10.86,51.93,3,10.95,50.28
7,11.25,1:03.06,9,11.29,1:03.37,1,9.50,52.28,5,11.22,1:02.99,8,11.05,1:03.18,3,11.38,1:01.76,2,9.68,56.82,6,11.12,1:03.05,4,11.61,1:01.89
7,11.48,1:14.54,9,11.46,1:14.83,1,11.25,1:03.53,6,11.45,1:14.44,8,11.48,1:14.66,3,10.29,1:12.05,2,9.94,1:06.76,5,11.20,1:14.25,4,10.21,1:12.10
7,10.87,1:25.41,9,10.82,1:25.65,1,11.42,1:14.95,6,10.88,1:25.32,8,10.86,1:25.52,3,12.54,1:24.59,2,10.20,1:16.96,5,10.95,1:25.20,4,12.65,1:24.75
8,13.27,1:38.68,9,13.12,1:38.77,1,10.85,1:25.80,6,13.23,1:38.55,4,12.88,1:38.40,5,13.86,1:38.45,2,10.41,1:27.37,7,13.37,1:38.57,3,13.54,1:38.29
4,14.52,1:53.20,9,14.77,1:53.54,1,13.24,1:39.04,8,14.89,1:53.44,3,14.80,1:53.20,5,14.84,1:53.29,2,11.74,1:39.11,7,14.81,1:53.38,6,15.03,1:53.32
4,13.66,2:06.86,9,14.04,2:07.58,1,14.22,1:53.26,8,13.97,2:07.41,3,13.61,2:06.81,6,13.81,2:07.10,2,14.30,1:53.41,5,13.65,2:07.03,7,13.87,2:07.19
4,13.84,2:20.70,8,13.60,2:21.18,1,13.32,2:06.58,9,13.82,2:21.23,3,13.50,2:20.31,6,13.84,2:20.94,2,13.30,2:06.71,5,13.78,2:20.81,7,13.87,2:21.06
6,13.12,2:33.82,5,12.50,2:33.68,1,13.46,2:20.04,9,12.91,2:34.14,4,13.24,2:33.55,8,13.03,2:33.97,2,13.45,2:20.16,7,13.10,2:33.91,3,12.44,2:33.50
4,11.56,2:45.38,7,11.87,2:45.55,1,13.24,2:33.28,9,11.73,2:45.87,5,11.91,2:45.46,8,11.67,2:45.64,2,13.23,2:33.39,6,11.60,2:45.51,3,10.74,2:44.24
4,10.48,2:55.86,9,10.85,2:56.40,1,11.14,2:44.42,8,10.39,2:56.26,6,10.61,2:56.07,7,10.52,2:56.16,2,11.14,2:44.53,5,10.43,2:55.94,3,11.08,2:55.32
4,11.74,3:07.60,8,11.53,3:07.93,2,11.12,2:55.54,9,11.74,3:08.00,7,11.76,3:07.83,5,11.51,3:07.67,1,10.89,2:55.42,6,11.75,3:07.69,3,12.06,3:07.38
4,10.82,3:18.42,8,10.97,3:18.90,2,11.72,3:07.26,9,11.02,3:19.02,7,10.88,3:18.71,6,10.84,3:18.51,1,11.73,3:07.15,5,10.81,3:18.50,3,10.72,3:18.10
4,10.26,3:28.68,8,10.17,3:29.07,2,10.73,3:17.99,9,10.20,3:29.22,7,10.32,3:29.03,6,10.40,3:28.91,1,10.75,3:17.90,5,10.30,3:28.80,3,10.35,3:28.45
4,10.31,3:38.99,8,10.37,3:39.44,2,10.36,3:28.35,9,10.33,3:39.55,7,10.23,3:39.26,6,10.24,3:39.15,1,10.36,3:28.26,5,10.28,3:39.08,3,10.36,3:38.81
4,10.35,3:49.34,8,10.32,3:49.76,2,10.35,3:38.70,9,10.31,3:49.86,7,10.38,3:49.64,5,10.27,3:49.42,1,10.36,3:38.62,6,10.46,3:49.54,3,10.39,3:49.20
3,9.91,3:59.25,8,10.09,3:59.85,2,10.41,3:49.11,9,10.07,3:59.93,7,10.07,3:59.71,4,9.92,3:59.34,1,10.37,3:48.99,6,10.05,3:59.59,5,10.29,3:59.49
5,9.71,4:08.96,9,9.92,4:09.77,2,10.53,3:59.64,7,9.37,4:09.30,8,9.72,4:09.43,6,9.72,4:09.06,1,10.54,3:59.53,3,9.18,4:08.77,4,9.29,4:08.78
5,9.35,4:18.31,9,9.21,4:18.98,2,10.35,4:09.99,7,9.30,4:18.60,8,9.36,4:18.79,6,9.34,4:18.40,1,10.33,4:09.86,4,9.48,4:18.25,3,9.18,4:17.96
5,9.40,4:27.71,8,9.40,4:28.38,1,9.93,4:19.92,7,9.30,4:27.90,9,9.72,4:28.51,6,9.40,4:27.80,2,10.39,4:20.25,4,9.36,4:27.61,3,9.33,4:27.29
4,9.44,4:37.15,8,9.74,4:38.12,1,9.93,4:29.85,7,9.53,4:37.43,9,11.70,4:40.21,5,9.48,4:37.28,2,10.74,4:30.99,6,9.72,4:37.33,3,9.41,4:36.70
4,9.21,4:46.36,8,9.99,4:48.11,1,10.30,4:40.15,6,9.59,4:47.02,9,13.01,4:53.22,5,9.23,4:46.51,2,10.88,4:41.87,7,10.12,4:47.45,3,9.53,4:46.23
5,9.69,4:56.05,7,10.52,4:58.63,1,10.95,4:51.10,6,9.99,4:57.01,9,13.82,5:07.04,4,9.48,4:55.99,2,11.02,4:52.89,8,11.34,4:58.79,3,9.66,4:55.89
5,10.04,5:06.089,7,10.87,5:09.500,1,11.80,5:02.894,6,10.63,5:07.635,9,12.99,5:20.026,4,9.86,5:05.848,2,11.33,5:04.213,8,11.94,5:10.721,3,9.88,5:05.766
