SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Jan-Ebele van der REE POSITION,Jan-Ebele van der REE LAP TIME,Jan-Ebele van der REE ELAPSED TIME
3,9.20,9.20,5,9.57,9.57,4,9.43,9.43,2,8.87,8.87,1,8.63,8.63
3,10.83,20.03,5,10.75,20.32,4,10.77,20.20,2,11.01,19.88,1,11.16,19.79
3,10.48,30.51,5,10.48,30.80,4,10.50,30.70,2,10.50,30.38,1,10.46,30.25
3,10.23,40.74,5,10.16,40.96,4,10.18,40.88,2,10.23,40.61,1,10.27,40.52
3,10.17,50.91,5,10.18,51.14,4,10.14,51.02,2,10.18,50.79,1,10.15,50.67
3,10.01,1:00.92,5,10.05,1:01.19,4,10.06,1:01.08,2,10.02,1:00.81,1,10.06,1:00.73
3,10.08,1:11.00,5,10.04,1:11.23,4,10.06,1:11.14,2,10.06,1:10.87,1,10.06,1:10.79
3,10.14,1:21.14,5,10.10,1:21.33,4,10.11,1:21.25,2,10.16,1:21.03,1,10.16,1:20.95
4,9.97,1:31.11,5,9.89,1:31.22,3,9.81,1:31.06,2,9.96,1:30.99,1,9.96,1:30.91
4,9.93,1:41.04,5,9.94,1:41.16,2,9.88,1:40.94,1,9.77,1:40.76,3,10.04,1:40.95
3,9.64,1:50.68,4,9.57,1:50.73,2,9.62,1:50.56,1,9.66,1:50.42,5,9.84,1:50.79
4,9.28,1:59.96,3,9.22,1:59.95,2,9.33,1:59.89,1,9.35,1:59.77,5,9.91,2:00.70
3,9.30,2:09.26,1,9.20,2:09.15,4,9.39,2:09.28,2,9.43,2:09.20,5,10.24,2:10.94
1,9.23,2:18.483,2,9.38,2:18.526,4,10.04,2:19.313,3,9.69,2:18.888,5,11.01,2:21.944
