Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Kinga KOVACS POSITION,Kinga KOVACS LAP TIME,Kinga KOVACS ELAPSED TIME,Anna ROMANOWICZ POSITION,Anna ROMANOWICZ LAP TIME,Anna ROMANOWICZ ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME
1,15.19,15.19,2,15.45,15.45,3,15.52,15.52,4,15.69,15.69
1,12.12,27.32,3,12.11,27.56,2,11.99,27.52,4,12.04,27.74
1,10.72,38.04,4,10.71,38.27,2,10.62,38.15,3,10.51,38.25
1,10.65,48.70,3,10.69,48.97,2,10.70,48.85,4,10.77,49.02
1,10.35,59.05,4,10.44,59.41,2,10.28,59.14,3,10.31,59.34
1,10.16,1:09.22,4,10.19,1:09.60,2,10.23,1:09.38,3,10.13,1:09.47
1,10.34,1:19.57,4,10.41,1:20.01,2,10.33,1:19.71,3,10.36,1:19.84
2,10.26,1:29.84,4,10.30,1:30.31,3,10.38,1:30.10,1,9.73,1:29.57
2,10.28,1:40.116,4,10.66,1:40.966,3,10.55,1:40.649,1,9.88,1:39.445
