Andras SZIKLASI POSITION,Andras SZIKLASI LAP TIME,Andras SZIKLASI ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,Paul BEAUCHAMP POSITION,Paul BEAUCHAMP LAP TIME,Paul BEAUCHAMP ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME
5,10.83,10.83,2,10.49,10.49,7,10.93,10.93,4,10.68,10.68,1,10.39,10.39,5,10.83,10.83,2,10.49,10.49
7,13.74,24.57,3,13.79,24.28,5,13.57,24.50,4,13.73,24.41,1,13.58,23.97,6,13.69,24.52,2,13.63,24.12
7,11.60,36.17,4,11.49,35.77,1,10.80,35.30,5,11.48,35.89,3,11.66,35.63,5,11.37,35.89,2,11.38,35.50
7,10.72,46.89,3,10.69,46.46,1,11.02,46.32,6,10.84,46.73,4,10.88,46.51,5,10.67,46.56,2,10.92,46.42
7,10.50,57.39,3,10.50,56.96,4,10.69,57.01,5,10.42,57.15,6,10.78,57.29,2,10.37,56.93,1,10.42,56.84
7,11.02,1:08.41,2,10.97,1:07.93,4,11.05,1:08.06,5,11.06,1:08.21,6,11.02,1:08.31,3,11.08,1:08.01,1,11.06,1:07.90
7,10.14,1:18.55,2,10.16,1:18.09,1,9.93,1:17.99,4,10.12,1:18.33,6,10.22,1:18.53,3,10.23,1:18.24,5,10.50,1:18.40
7,9.99,1:28.54,2,9.90,1:27.99,1,9.93,1:27.92,3,9.75,1:28.08,6,9.89,1:28.42,4,9.95,1:28.19,5,9.89,1:28.29
6,9.79,1:38.33,2,9.91,1:37.90,1,9.88,1:37.80,3,9.94,1:38.02,6,9.91,1:38.33,4,9.92,1:38.11,5,9.95,1:38.24
6,9.68,1:48.01,2,9.46,1:47.36,1,9.49,1:47.29,3,9.45,1:47.47,7,9.81,1:48.14,4,9.55,1:47.66,5,9.66,1:47.90
5,9.43,1:57.44,3,9.36,1:56.72,1,9.33,1:56.62,2,9.22,1:56.69,7,9.46,1:57.60,4,9.20,1:56.86,6,9.55,1:57.45
7,10.05,2:07.49,3,9.29,2:06.01,1,9.23,2:05.85,2,9.17,2:05.86,5,9.58,2:07.18,4,9.17,2:06.03,6,9.92,2:07.37
7,10.21,2:17.70,1,8.90,2:14.91,4,9.94,2:15.79,3,9.69,2:15.55,5,9.86,2:17.04,2,9.43,2:15.46,6,10.02,2:17.39
7,10.59,2:28.293,1,9.41,2:24.32,4,9.45,2:25.243,0,9.42,2:24.97,5,10.23,2:27.271,3,9.53,2:24.994,6,10.38,2:27.770
