HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME
1,6.97,6.97,2,7.09,7.09,3,7.23,7.23,4,7.59,7.59
1,8.95,15.92,2,9.01,16.10,3,8.99,16.22,4,9.16,16.75
1,8.55,24.47,2,8.45,24.55,3,8.40,24.62,4,8.57,25.32
1,8.85,33.32,3,9.05,33.60,2,8.78,33.40,4,8.90,34.22
2,9.13,42.446,3,9.04,42.636,1,8.90,42.291,4,9.19,43.405
