CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME
3,10.48,10.48,6,10.93,10.93,5,10.73,10.73,4,10.64,10.64,2,10.11,10.11,1,9.85,9.85
3,13.26,23.74,6,13.23,24.16,5,13.29,24.02,4,13.26,23.90,2,13.42,23.53,1,13.55,23.40
3,12.28,36.02,6,12.16,36.32,5,12.25,36.27,4,12.23,36.13,2,12.32,35.85,1,12.34,35.74
5,11.73,47.75,6,11.45,47.77,1,11.20,47.47,4,11.51,47.64,2,11.71,47.56,3,11.82,47.56
5,10.56,58.31,6,10.61,58.38,3,10.60,58.07,1,10.20,57.84,2,10.42,57.98,4,10.59,58.15
5,10.58,1:08.89,6,10.62,1:09.00,3,10.68,1:08.75,1,10.72,1:08.56,2,10.69,1:08.67,4,10.64,1:08.79
5,9.92,1:18.81,6,9.87,1:18.87,4,10.05,1:18.80,1,9.90,1:18.46,2,9.87,1:18.54,3,9.89,1:18.68
5,10.10,1:28.91,6,10.07,1:28.94,4,10.01,1:28.81,1,10.09,1:28.55,2,10.10,1:28.64,3,10.10,1:28.78
5,10.00,1:38.91,6,10.08,1:39.02,3,9.84,1:38.65,1,9.77,1:38.32,2,9.86,1:38.50,4,9.97,1:38.75
5,9.51,1:48.42,6,9.53,1:48.55,3,9.68,1:48.33,1,9.84,1:48.16,2,9.75,1:48.25,4,9.67,1:48.42
2,9.40,1:57.82,5,9.54,1:58.09,4,9.70,1:58.03,1,9.61,1:57.77,3,9.69,1:57.94,6,9.82,1:58.24
1,9.12,2:06.94,5,9.45,2:07.54,4,9.44,2:07.47,2,9.36,2:07.13,3,9.45,2:07.39,6,9.75,2:07.99
1,9.43,2:16.37,3,9.39,2:16.93,5,9.65,2:17.12,2,9.41,2:16.54,4,9.55,2:16.94,6,9.86,2:17.85
1,9.63,2:25.995,3,9.73,2:26.653,5,9.84,2:26.953,2,9.58,2:26.119,4,9.91,2:26.844,6,10.25,2:28.093
