Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,Patricija SLUGA POSITION,Patricija SLUGA LAP TIME,Patricija SLUGA ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
0,9.108,9.108,0,8.828,8.828,0,8.626,8.626,0,9.065,9.065,0,9.193,9.193
0,11.858,20.967,0,11.971,20.798,0,12.003,20.629,0,11.751,20.815,0,11.798,20.991
0,11.991,32.958,0,11.965,32.763,0,11.897,32.526,0,11.942,32.757,0,12.009,33.000
0,11.957,44.915,0,11.949,44.712,0,12.059,44.585,0,12.000,44.757,0,11.860,44.860
0,11.957,56.872,0,11.872,56.584,0,11.934,56.519,0,11.981,56.738,0,12.127,56.987
0,11.739,1:08.611,0,12.015,1:08.599,0,11.982,1:08.500,0,11.913,1:08.651,0,11.715,1:08.702
0,10.770,1:19.381,0,10.679,1:19.278,0,21.307,1:29.807,0,12.204,1:20.855,0,10.671,1:19.373
0,10.648,1:30.030,0,10.751,1:30.029,0,13.607,1:43.414,0,12.040,1:32.895,0,10.754,1:30.127
0,10.690,1:40.719,0,10.552,1:40.581,0,12.830,1:56.244,0,12.232,1:45.127,0,10.188,1:40.315
0,10.480,1:51.199,0,10.592,1:51.172,0,13.413,2:09.656,0,12.574,1:57.701,0,10.668,1:50.983
0,10.963,2:02.162,0,10.767,2:01.939,0,13.602,2:23.258,0,13.161,2:10.861,0,10.770,2:01.752
0,10.958,2:13.120,0,11.030,2:12.969,0,13.821,2:37.079,0,13.505,2:24.366,0,11.046,2:12.798
0,10.985,2:24.105,0,11.019,2:23.988,0,13.521,2:50.600,0,13.807,2:38.173,0,11.087,2:23.885
0,,,0,,,0,,,0,,,0,,
