WANG Wei POSITION,WANG Wei LAP TIME,WANG Wei ELAPSED TIME,Kristina PAPP POSITION,Kristina PAPP LAP TIME,Kristina PAPP ELAPSED TIME,Anja KOLAR POSITION,Anja KOLAR LAP TIME,Anja KOLAR ELAPSED TIME,BARANOVA Oxana POSITION,BARANOVA Oxana LAP TIME,BARANOVA Oxana ELAPSED TIME
2,17.450,17.450,4,17.683,17.683,1,17.309,17.309,3,17.505,17.505
1,13.028,30.478,4,13.845,31.527,2,13.345,30.653,3,13.314,30.819
1,12.644,43.122,4,13.065,44.592,2,12.662,43.315,3,12.608,43.427
2,12.672,55.793,4,13.207,57.798,1,12.478,55.792,3,12.503,55.929
1,11.966,1:07.759,4,13.222,1:11.020,2,12.236,1:08.028,3,12.209,1:08.137
1,11.879,1:19.638,4,13.004,1:24.023,2,11.951,1:19.979,3,11.944,1:20.081
1,11.804,1:31.442,4,13.414,1:37.436,2,11.785,1:31.763,3,11.772,1:31.853
1,11.443,1:42.884,4,13.962,1:51.398,3,11.387,1:43.149,2,11.236,1:43.088
1,10.58,1:53.464,4,14.17,2:05.561,3,10.92,1:54.065,2,10.59,1:53.670
