WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Valentyn DANILOVSKYI POSITION,Valentyn DANILOVSKYI LAP TIME,Valentyn DANILOVSKYI ELAPSED TIME
2,13.32,13.32,1,13.23,13.23,4,13.45,13.45,3,13.37,13.37
3,10.17,23.49,1,9.98,23.21,4,10.15,23.60,2,9.91,23.28
3,9.83,33.32,2,10.00,33.21,4,9.98,33.58,1,9.77,33.05
3,9.21,42.53,2,9.16,42.37,4,9.40,42.98,1,9.18,42.23
3,9.39,51.92,2,9.49,51.86,4,9.53,52.51,1,9.52,51.75
3,9.72,1:01.64,2,9.75,1:01.61,4,9.61,1:02.12,1,9.86,1:01.61
1,9.43,1:11.07,2,9.50,1:11.11,4,9.69,1:11.81,3,10.12,1:11.73
1,9.35,1:20.42,2,9.56,1:20.67,3,10.14,1:21.95,4,10.50,1:22.23
1,9.56,1:29.979,2,9.92,1:30.582,3,10.34,1:32.283,4,10.86,1:33.081
