LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME
3,7.25,7.25,2,7.05,7.05,1,6.93,6.93,4,7.32,7.32
3,9.33,16.58,2,9.38,16.43,1,9.30,16.23,4,9.75,17.07
3,8.49,25.07,2,8.56,24.99,1,8.64,24.87,4,8.50,25.57
1,8.55,33.62,3,8.99,33.98,2,8.98,33.85,4,8.81,34.38
1,8.67,42.281,2,8.83,42.808,3,9.11,42.959,4,9.08,43.458
