LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Pavel RYBAKOV POSITION,Pavel RYBAKOV LAP TIME,Pavel RYBAKOV ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME
3,7.33,7.33,2,7.12,7.12,1,7.09,7.09,4,7.42,7.42
3,9.34,16.67,1,9.37,16.49,2,9.51,16.60,4,9.34,16.76
2,8.87,25.54,1,8.98,25.47,3,8.99,25.59,4,8.99,25.75
1,9.07,34.61,2,9.19,34.66,3,9.18,34.77,4,9.14,34.89
0,,PEN,2,37.27,1:11.923,0,,PEN,1,9.68,44.561
