Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,KIKUCHI Kota POSITION,KIKUCHI Kota LAP TIME,KIKUCHI Kota ELAPSED TIME
1,6.84,6.84,4,7.22,7.22,2,7.01,7.01,3,7.10,7.10
1,8.87,15.71,4,8.89,16.11,2,8.81,15.82,3,8.86,15.96
1,8.27,23.98,4,8.17,24.28,2,8.23,24.05,3,8.23,24.19
1,8.36,32.34,3,8.24,32.52,2,8.36,32.41,4,8.46,32.65
2,8.53,40.87,3,8.39,40.91,1,8.37,40.78,4,8.45,41.10
