EYBOG Daniil POSITION,EYBOG Daniil LAP TIME,EYBOG Daniil ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,Marc-Olivier LEMAY POSITION,Marc-Olivier LEMAY LAP TIME,Marc-Olivier LEMAY ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME
1,6.77,6.77,3,7.17,7.17,2,7.00,7.00,4,7.30,7.30
1,8.83,15.60,3,8.77,15.94,2,8.82,15.82,4,8.86,16.16
1,8.58,24.18,3,8.41,24.35,2,8.43,24.25,4,8.56,24.72
2,8.81,32.99,3,8.65,33.00,1,8.63,32.88,4,8.69,33.41
3,9.14,42.108,2,8.95,41.95,1,8.90,41.78,4,8.89,42.279
