CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME
2,7.29,7.29,4,7.65,7.65,1,7.19,7.19,5,7.69,7.69,3,7.42,7.42
2,9.43,16.72,5,9.86,17.51,1,9.51,16.70,4,9.57,17.26,3,9.42,16.84
1,9.06,25.78,5,9.35,26.86,3,9.38,26.08,4,9.03,26.29,2,9.06,25.90
1,9.14,34.92,5,9.71,36.57,3,9.36,35.44,4,9.18,35.47,2,9.10,35.00
1,9.48,44.399,5,10.29,46.849,4,9.80,45.230,3,9.54,44.991,2,9.45,44.465
