Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,Emil IMRE POSITION,Emil IMRE LAP TIME,Emil IMRE ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME
3,12.89,12.89,1,12.65,12.65,2,12.76,12.76,5,13.24,13.24,4,13.05,13.05
3,9.68,22.57,2,9.72,22.37,1,9.59,22.35,5,9.51,22.75,4,9.59,22.64
3,9.29,31.86,2,9.38,31.75,1,9.29,31.64,5,9.37,32.12,4,9.32,31.96
3,9.41,41.27,1,9.29,41.04,2,9.50,41.14,5,9.36,41.48,4,9.41,41.37
3,9.46,50.73,1,9.47,50.51,2,9.46,50.60,5,9.45,50.93,4,9.45,50.82
3,9.41,1:00.14,1,9.42,59.93,2,9.43,1:00.03,5,9.53,1:00.46,4,9.46,1:00.28
1,9.01,1:09.15,2,9.29,1:09.22,3,9.30,1:09.33,5,9.69,1:10.15,4,9.17,1:09.45
1,9.04,1:18.19,2,9.35,1:18.57,3,9.35,1:18.68,5,10.01,1:20.16,4,9.41,1:18.86
1,9.57,1:27.734,2,9.37,1:27.921,3,9.40,1:28.064,5,10.44,1:30.588,4,9.34,1:28.190
