Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Andrey SMETANIN POSITION,Andrey SMETANIN LAP TIME,Andrey SMETANIN ELAPSED TIME,Yoshiharu ARINO POSITION,Yoshiharu ARINO LAP TIME,Yoshiharu ARINO ELAPSED TIME,Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME
1,9.076,9.076,6,9.745,9.745,2,9.130,9.130,4,9.560,9.560,5,9.643,9.643,3,9.363,9.363
1,13.755,22.830,6,13.752,23.496,2,13.781,22.911,5,13.770,23.330,4,13.648,23.291,3,13.648,23.010
3,12.689,35.519,6,12.470,35.966,2,12.559,35.469,4,12.438,35.767,5,12.566,35.857,1,12.167,35.177
1,10.895,46.413,4,10.749,46.715,3,11.047,46.516,6,11.079,46.845,5,10.978,46.834,2,11.260,46.437
2,11.218,57.631,5,11.251,57.966,3,11.280,57.795,6,11.183,58.028,4,11.112,57.945,1,11.184,57.621
1,10.747,1:08.378,6,11.029,1:08.995,3,10.744,1:08.539,5,10.898,1:08.926,4,10.743,1:08.688,2,10.773,1:08.393
2,10.582,1:18.960,6,10.731,1:19.726,4,10.497,1:19.035,5,10.390,1:19.315,3,10.323,1:19.011,1,10.266,1:18.658
3,10.127,1:29.087,6,10.854,1:30.579,2,10.032,1:29.067,5,10.145,1:29.460,4,10.207,1:29.218,1,10.243,1:28.900
4,9.743,1:38.829,6,11.384,1:41.963,3,9.717,1:38.784,5,9.619,1:39.078,1,9.230,1:38.447,2,9.788,1:38.688
3,9.898,1:48.727,6,11.629,1:53.591,5,9.965,1:48.749,4,9.665,1:48.743,1,10.049,1:48.495,2,9.933,1:48.621
1,9.563,1:58.290,6,12.112,2:05.703,5,9.979,1:58.727,4,9.943,1:58.685,2,9.840,1:58.335,3,9.924,1:58.545
2,9.833,2:08.122,6,12.131,2:17.833,5,9.874,2:08.601,3,9.672,2:08.357,1,9.746,2:08.080,4,9.907,2:08.452
2,10.042,2:18.164,6,12.283,2:30.116,5,10.225,2:18.825,3,9.867,2:18.224,1,9.834,2:17.913,4,10.091,2:18.542
2,10.27,2:28.430,6,12.14,2:42.247,5,11.10,2:29.918,3,10.45,2:28.668,1,10.49,2:28.398,4,10.61,2:29.146
