YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Matteo COMPAGNONI POSITION,Matteo COMPAGNONI LAP TIME,Matteo COMPAGNONI ELAPSED TIME
3,13.81,13.81,2,13.70,13.70,1,13.59,13.59,4,13.91,13.91
4,10.58,24.39,3,10.69,24.39,1,10.68,24.27,2,10.47,24.38
2,9.79,34.18,3,9.91,34.30,1,9.80,34.07,4,10.13,34.51
2,10.31,44.49,3,10.31,44.61,1,10.26,44.33,4,10.20,44.71
2,9.91,54.40,3,9.95,54.56,1,10.06,54.39,4,9.99,54.70
1,9.35,1:03.75,2,9.29,1:03.85,3,9.75,1:04.14,4,9.53,1:04.23
1,9.35,1:13.10,2,9.32,1:13.17,4,9.66,1:13.80,3,9.32,1:13.55
2,9.36,1:22.46,1,9.19,1:22.36,4,9.51,1:23.31,3,9.23,1:22.78
2,9.28,1:31.735,1,9.12,1:31.471,4,10.20,1:33.501,3,9.43,1:32.202
