Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,MENG Xiaoxue POSITION,MENG Xiaoxue LAP TIME,MENG Xiaoxue ELAPSED TIME,Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME
1,7.34,7.34,2,7.59,7.59,3,7.84,7.84,4,7.97,7.97
1,9.66,17.00,3,9.64,17.23,2,9.39,17.23,4,9.87,17.84
1,9.33,26.34,3,9.32,26.55,2,9.13,26.37,4,9.35,27.19
3,9.32,35.66,2,9.00,35.56,1,9.17,35.54,4,9.45,36.65
3,10.32,45.980,2,9.72,45.274,1,9.69,45.230,4,10.04,46.682
