Matus SUROVEC POSITION,Matus SUROVEC LAP TIME,Matus SUROVEC ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME
4,7.59,7.59,1,6.88,6.88,3,7.25,7.25,5,7.78,7.78,2,7.11,7.11
5,9.87,17.46,1,9.25,16.13,3,9.58,16.83,4,9.68,17.46,2,9.23,16.34
5,9.40,26.86,1,8.76,24.89,3,8.97,25.80,4,9.11,26.57,2,8.82,25.16
5,9.73,36.59,1,9.15,34.04,3,9.44,35.24,4,9.48,36.05,2,9.39,34.55
5,9.71,46.297,1,9.01,43.045,3,9.40,44.632,4,9.64,45.690,2,9.53,44.072
