Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
1,12.01,12.01,2,12.13,12.13,3,12.22,12.22,4,12.34,12.34
1,9.51,21.52,2,9.46,21.59,3,9.49,21.71,4,9.51,21.85
1,9.28,30.80,2,9.25,30.84,3,9.29,31.00,4,9.29,31.14
2,8.84,39.64,1,8.69,39.53,3,8.77,39.77,4,8.76,39.90
2,8.77,48.41,1,8.76,48.29,3,8.75,48.52,4,8.72,48.62
2,8.78,57.19,1,8.82,57.11,3,8.77,57.29,4,8.78,57.40
2,8.70,1:05.89,1,8.77,1:05.88,3,8.79,1:06.08,4,8.86,1:06.26
2,8.96,1:14.85,1,8.89,1:14.77,3,8.94,1:15.02,4,9.05,1:15.31
2,9.24,1:24.087,1,9.25,1:24.013,3,9.16,1:24.174,4,9.29,1:24.594
