Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME
1,13.22,13.22,2,13.32,13.32,3,13.47,13.47,4,13.56,13.56
2,9.85,23.07,1,9.69,23.01,3,9.75,23.22,4,9.81,23.37
1,9.02,32.09,2,9.16,32.17,3,9.11,32.33,4,9.12,32.49
1,9.28,41.37,2,9.30,41.47,3,9.24,41.57,4,9.15,41.64
1,9.17,50.54,2,9.17,50.64,3,9.15,50.72,4,9.15,50.79
2,9.15,59.69,1,9.04,59.68,3,9.14,59.86,4,9.14,59.93
3,10.32,1:10.01,4,10.45,1:10.13,1,9.09,1:08.95,2,9.13,1:09.06
3,10.11,1:20.12,4,10.36,1:20.49,1,9.08,1:18.03,2,9.08,1:18.14
3,10.50,1:30.618,0,,PEN,2,9.42,1:27.449,1,9.17,1:27.304
