Siarhei YAKUSHKOU POSITION,Siarhei YAKUSHKOU LAP TIME,Siarhei YAKUSHKOU ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,SONG Kyung-Taek POSITION,SONG Kyung-Taek LAP TIME,SONG Kyung-Taek ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Matus UZAK POSITION,Matus UZAK LAP TIME,Matus UZAK ELAPSED TIME,Petr HARGAS POSITION,Petr HARGAS LAP TIME,Petr HARGAS ELAPSED TIME
0,8.503,8.503,0,8.486,8.486,0,9.239,9.239,0,9.527,9.527,0,8.619,8.619,0,8.960,8.960
0,11.930,20.433,0,11.790,20.275,0,11.582,20.821,0,11.163,20.690,0,11.916,20.535,0,11.562,20.521
0,11.094,31.527,0,11.395,31.671,0,11.365,32.186,0,11.314,32.003,0,11.511,32.046,0,11.441,31.963
0,11.330,42.856,0,10.977,42.648,0,11.161,43.347,0,11.210,43.213,0,10.953,42.999,0,10.727,42.689
0,10.915,53.771,0,10.830,53.478,0,10.838,54.184,0,10.675,53.889,0,10.433,53.432,0,10.932,53.621
0,9.887,1:03.659,0,9.781,1:03.259,0,9.757,1:03.941,0,9.987,1:03.876,0,11.219,1:04.651,0,9.577,1:03.198
0,9.907,1:13.566,0,9.964,1:13.223,0,9.794,1:13.735,0,10.274,1:14.150,0,9.955,1:14.605,0,10.102,1:13.300
0,10.312,1:23.878,0,10.190,1:23.412,0,10.088,1:23.823,0,9.778,1:23.928,0,9.824,1:24.429,0,10.214,1:23.513
0,10.085,1:33.963,0,10.129,1:33.542,0,9.611,1:33.434,0,10.028,1:33.955,0,9.739,1:34.168,0,10.063,1:33.576
0,9.594,1:43.557,0,9.569,1:43.111,0,9.709,1:43.143,0,9.430,1:43.385,0,10.002,1:44.171,0,9.616,1:43.193
0,9.784,1:53.340,0,9.840,1:52.951,0,9.788,1:52.931,0,9.893,1:53.278,0,10.075,1:54.245,0,9.686,1:52.879
0,10.215,2:03.555,0,9.903,2:02.854,0,9.900,2:02.830,0,9.865,2:03.142,0,10.417,2:04.662,0,9.886,2:02.764
0,10.547,2:14.102,0,9.975,2:12.829,0,9.951,2:12.781,0,10.152,2:13.294,0,10.896,2:15.558,0,10.246,2:13.010
0,11.245,2:25.347,0,10.008,2:22.837,0,9.932,2:22.713,0,10.011,2:23.305,0,12.496,2:28.054,0,10.148,2:23.158
