Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME
1,6.89,6.89,3,7.03,7.03,2,6.96,6.96,4,7.15,7.15
2,8.91,15.80,3,8.92,15.95,1,8.71,15.67,4,8.96,16.11
2,8.33,24.13,3,8.28,24.23,1,8.29,23.96,4,8.28,24.39
2,8.30,32.43,3,8.28,32.51,1,8.38,32.34,4,8.26,32.65
3,8.66,41.079,2,8.52,41.03,1,8.64,40.98,4,8.60,41.231
