Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME
1,11.86,11.86,3,12.09,12.09,2,11.97,11.97,4,12.35,12.35
1,9.07,20.93,3,9.00,21.09,2,9.03,21.00,4,8.92,21.27
1,9.20,30.13,3,9.23,30.32,2,9.22,30.22,4,9.19,30.46
2,9.08,39.21,3,9.01,39.33,1,8.98,39.20,4,9.01,39.47
4,9.30,48.51,3,9.06,48.39,1,9.08,48.28,2,8.89,48.36
4,9.23,57.74,3,9.25,57.64,1,9.19,57.47,2,9.19,57.55
4,9.20,1:06.94,3,9.16,1:06.80,2,9.23,1:06.70,1,8.99,1:06.54
3,9.05,1:15.99,4,9.19,1:15.99,2,9.14,1:15.84,1,8.97,1:15.51
4,12.61,1:28.594,3,9.65,1:25.634,2,9.44,1:25.272,1,9.28,1:24.789
