LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME,WANG Yichao POSITION,WANG Yichao LAP TIME,WANG Yichao ELAPSED TIME,LIN Yue POSITION,LIN Yue LAP TIME,LIN Yue ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME
1,13.56,13.56,3,13.77,13.77,2,13.65,13.65,4,13.84,13.84
1,10.33,23.89,4,10.26,24.03,2,10.27,23.92,3,10.16,24.00
2,9.48,33.37,3,9.42,33.45,1,9.37,33.29,3,9.45,33.45
3,9.81,43.18,4,9.87,43.32,1,9.71,43.00,2,9.64,43.09
3,9.95,53.13,4,9.92,53.24,2,10.02,53.02,1,9.76,52.85
3,9.68,1:02.81,4,9.68,1:02.92,2,9.69,1:02.71,1,9.77,1:02.62
3,9.93,1:12.74,4,9.95,1:12.87,2,9.95,1:12.66,1,9.93,1:12.55
3,9.88,1:22.62,4,9.92,1:22.79,2,9.94,1:22.60,1,9.95,1:22.50
1,9.95,1:32.558,3,10.02,1:32.803,4,10.25,1:32.836,2,10.15,1:32.632
