Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME
1,14.27,14.27,2,14.36,14.36,3,14.48,14.48,4,14.60,14.60
2,10.72,24.99,3,10.70,25.06,1,10.43,24.91,4,10.56,25.16
2,10.59,35.58,3,10.61,35.67,1,10.52,35.43,4,10.66,35.82
2,10.26,45.84,3,10.29,45.96,1,10.35,45.78,4,10.29,46.11
1,9.53,55.37,3,9.59,55.55,2,9.70,55.48,4,9.49,55.60
1,9.52,1:04.89,4,9.84,1:05.39,2,9.50,1:04.98,3,9.55,1:05.15
1,9.64,1:14.53,4,9.56,1:14.95,2,9.68,1:14.66,3,9.62,1:14.77
1,9.65,1:24.18,4,9.80,1:24.75,2,9.76,1:24.42,3,9.77,1:24.54
1,9.86,1:34.040,4,9.95,1:34.694,2,9.76,1:34.175,3,9.76,1:34.295
