Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Marie-Andree MENDES-CAMPEAU POSITION,Marie-Andree MENDES-CAMPEAU LAP TIME,Marie-Andree MENDES-CAMPEAU ELAPSED TIME,Hiroko SADAKANE POSITION,Hiroko SADAKANE LAP TIME,Hiroko SADAKANE ELAPSED TIME,Susanne RUDOLPH POSITION,Susanne RUDOLPH LAP TIME,Susanne RUDOLPH ELAPSED TIME
1,6.93,6.93,2,7.23,7.23,4,7.50,7.50,5,7.67,7.67,3,7.37,7.37
1,9.45,16.38,2,9.42,16.65,4,9.44,16.95,5,9.40,17.07,3,9.39,16.77
1,9.07,25.45,3,9.07,25.73,4,8.80,25.75,5,9.08,26.16,2,8.91,25.68
1,9.30,34.76,2,9.12,34.85,3,9.18,34.94,5,9.10,35.26,4,9.26,34.95
2,9.39,44.148,1,9.23,44.080,4,9.49,44.423,5,9.36,44.618,3,9.38,44.321
