ITALY POSITION,ITALY LAP TIME,ITALY ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME
1,12.12,12.12,2,12.24,12.24,3,12.34,12.34,4,12.59,12.59
1,9.31,21.43,2,9.31,21.55,3,9.37,21.71,4,9.27,21.86
1,9.07,30.50,2,9.03,30.58,3,9.10,30.81,4,9.24,31.10
1,9.20,39.70,2,9.24,39.82,3,9.12,39.93,4,9.28,40.38
1,9.10,48.80,2,9.15,48.97,3,9.21,49.14,4,10.38,50.76
1,9.06,57.86,2,9.03,58.00,3,9.05,58.19,4,8.08,58.84
1,9.20,1:07.06,2,9.18,1:07.18,3,9.07,1:07.26,4,9.03,1:07.87
1,9.11,1:16.17,2,9.11,1:16.29,3,9.16,1:16.42,4,8.94,1:16.81
1,9.01,1:25.18,2,9.00,1:25.29,3,9.09,1:25.51,4,9.09,1:25.90
1,9.20,1:34.38,2,9.21,1:34.50,3,9.14,1:34.65,4,9.35,1:35.25
1,9.16,1:43.54,2,9.16,1:43.66,3,9.10,1:43.75,4,9.33,1:44.58
3,9.20,1:52.74,1,8.98,1:52.64,2,8.90,1:52.65,4,9.39,1:53.97
1,8.96,2:01.70,2,9.14,2:01.78,3,9.15,2:01.80,4,9.04,2:03.01
1,8.85,2:10.55,2,8.84,2:10.62,3,9.23,2:11.03,4,9.09,2:12.10
2,9.01,2:19.56,1,8.75,2:19.37,3,8.59,2:19.62,4,9.12,2:21.22
3,9.05,2:28.61,1,9.14,2:28.51,2,8.92,2:28.54,4,9.54,2:30.76
3,8.92,2:37.53,2,8.95,2:37.46,1,8.79,2:37.33,4,9.50,2:40.26
3,9.03,2:46.56,2,8.73,2:46.19,1,8.77,2:46.10,4,9.62,2:49.88
3,8.50,2:55.06,2,8.64,2:54.83,1,8.59,2:54.69,4,9.04,2:58.92
3,8.62,3:03.68,2,8.70,3:03.53,1,8.78,3:03.47,4,9.27,3:08.19
3,8.97,3:12.65,1,8.85,3:12.38,2,8.99,3:12.46,4,9.28,3:17.47
3,8.88,3:21.53,2,9.00,3:21.38,1,8.86,3:21.32,4,9.68,3:27.15
3,9.10,3:30.63,2,8.99,3:30.37,1,8.95,3:30.27,4,9.86,3:37.01
2,8.74,3:39.37,3,9.00,3:39.37,1,8.96,3:39.23,4,9.73,3:46.74
3,8.67,3:48.04,2,8.52,3:47.89,1,8.51,3:47.74,4,9.34,3:56.08
3,8.71,3:56.75,2,8.83,3:56.72,1,8.69,3:56.43,4,9.81,4:05.89
2,8.97,4:05.72,3,9.03,4:05.75,1,8.90,4:05.33,4,9.49,4:15.38
3,8.99,4:14.71,2,8.61,4:14.36,1,8.82,4:14.15,4,8.01,4:23.39
3,8.83,4:23.54,2,8.84,4:23.20,1,8.82,4:22.97,4,11.53,4:34.92
3,8.83,4:32.37,2,8.91,4:32.11,1,8.96,4:31.93,4,10.12,4:45.04
3,8.70,4:41.07,2,8.79,4:40.90,1,8.51,4:40.44,4,9.29,4:54.33
3,8.77,4:49.84,2,8.85,4:49.75,1,8.84,4:49.28,4,10.72,5:05.05
3,8.93,4:58.77,2,8.75,4:58.50,1,9.00,4:58.28,4,8.55,5:13.60
3,8.84,5:07.61,2,8.81,5:07.31,1,8.78,5:07.06,4,9.88,5:23.48
3,9.02,5:16.63,2,8.99,5:16.30,1,8.73,5:15.79,4,10.30,5:33.78
3,8.95,5:25.58,2,8.95,5:25.25,1,8.70,5:24.49,4,10.61,5:44.39
3,8.91,5:34.49,2,8.89,5:34.14,1,8.68,5:33.17,4,9.45,5:53.84
3,8.96,5:43.45,2,8.11,5:42.25,1,8.83,5:42.00,4,9.47,6:03.31
3,9.03,5:52.48,2,9.75,5:52.00,1,8.93,5:50.93,4,9.76,6:13.07
3,8.90,6:01.38,2,8.98,6:00.98,1,8.92,5:59.85,4,10.07,6:23.14
3,9.06,6:10.44,2,9.15,6:10.13,1,8.87,6:08.72,4,10.09,6:33.23
3,9.03,6:19.47,2,9.09,6:19.22,1,9.41,6:18.13,4,9.23,6:42.46
3,9.22,6:28.69,2,9.40,6:28.62,1,8.57,6:26.70,4,21.15,7:03.61
3,8.74,6:37.43,2,8.74,6:37.36,1,9.00,6:35.70,4,10.04,7:13.65
3,9.07,6:46.494,2,8.85,6:46.205,1,9.51,6:45.201,4,10.33,7:23.972
