Karol BOBOWICZ POSITION,Karol BOBOWICZ LAP TIME,Karol BOBOWICZ ELAPSED TIME,Mikael MESSING POSITION,Mikael MESSING LAP TIME,Mikael MESSING ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Sergei KASTOV POSITION,Sergei KASTOV LAP TIME,Sergei KASTOV ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME
4,8.574,8.574,1,8.146,8.146,3,8.462,8.462,2,8.180,8.180,5,8.702,8.702
4,11.447,20.020,2,11.530,19.676,3,11.478,19.940,1,11.301,19.480,5,11.502,20.203
4,10.672,30.691,2,10.596,30.271,3,10.626,30.565,1,10.705,30.184,5,10.612,30.815
4,10.558,41.249,2,10.527,40.798,3,10.578,41.143,1,10.528,40.711,5,10.570,41.384
4,10.557,51.806,2,10.527,51.324,3,10.572,51.715,1,10.566,51.277,5,10.492,51.875
4,10.519,1:02.324,2,10.702,1:02.026,3,10.527,1:02.241,1,10.588,1:01.865,5,10.480,1:02.355
4,10.412,1:12.736,3,10.471,1:12.496,1,10.140,1:12.381,2,10.537,1:12.402,5,10.482,1:12.836
3,10.086,1:22.822,4,10.337,1:22.833,1,10.255,1:22.635,2,10.335,1:22.736,5,10.126,1:22.962
3,10.036,1:32.858,5,10.086,1:32.919,1,10.006,1:32.641,2,9.922,1:32.658,4,9.909,1:32.871
4,9.973,1:42.831,5,10.070,1:42.989,1,9.738,1:42.379,3,9.920,1:42.578,2,9.535,1:42.405
4,9.841,1:52.671,5,10.257,1:53.245,1,9.693,1:52.071,3,9.787,1:52.365,2,9.882,1:52.287
3,9.954,2:02.624,4,10.901,2:04.146,1,9.637,2:01.708,5,23.205,2:15.569,2,9.590,2:01.876
3,10.677,2:13.301,4,11.556,2:15.702,1,9.627,2:11.335,5,21.101,2:36.670,2,9.490,2:11.366
3,11.46,2:24.760,4,12.08,2:27.777,2,9.95,2:21.280,5,13.34,2:50.006,1,9.70,2:21.066
