Kerim BALIC POSITION,Kerim BALIC LAP TIME,Kerim BALIC ELAPSED TIME,Kiryl SHLIANAV POSITION,Kiryl SHLIANAV LAP TIME,Kiryl SHLIANAV ELAPSED TIME,Dembereldavga DEMCHIGSUREN POSITION,Dembereldavga DEMCHIGSUREN LAP TIME,Dembereldavga DEMCHIGSUREN ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME
1,17.39,17.39,2,17.50,17.50,4,17.88,17.88,3,17.69,17.69,5,18.32,18.32
1,13.91,31.30,2,13.97,31.47,4,13.87,31.75,3,13.93,31.62,5,13.91,32.23
2,13.13,44.43,1,12.93,44.40,4,13.07,44.82,3,13.03,44.65,5,13.11,45.34
3,11.47,55.90,2,11.32,55.72,4,11.43,56.25,1,10.88,55.53,5,10.91,56.25
4,10.15,1:06.05,2,10.18,1:05.90,5,10.95,1:07.20,1,10.11,1:05.64,3,9.76,1:06.01
4,10.00,1:16.05,3,9.93,1:15.83,5,11.45,1:18.65,1,9.65,1:15.29,2,9.40,1:15.41
4,10.00,1:26.05,3,10.09,1:25.92,5,11.83,1:30.48,1,9.41,1:24.70,2,9.43,1:24.84
3,10.28,1:36.33,4,10.54,1:36.46,5,12.03,1:42.51,1,9.44,1:34.14,2,9.40,1:34.24
3,10.72,1:47.044,4,10.68,1:47.137,5,11.70,1:54.206,2,9.66,1:43.800,1,9.43,1:43.663
