KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Nihad BASIC POSITION,Nihad BASIC LAP TIME,Nihad BASIC ELAPSED TIME
3,13.10,13.10,2,13.01,13.01,1,12.95,12.95,4,13.21,13.21
3,10.40,23.50,2,10.38,23.39,1,10.37,23.32,4,10.42,23.63
3,10.14,33.64,2,10.12,33.51,1,10.09,33.41,4,10.08,33.71
3,9.72,43.36,2,9.76,43.27,1,9.80,43.21,4,9.77,43.48
3,9.50,52.86,2,9.50,52.77,1,9.49,52.70,4,42.69,1:26.17
3,9.22,1:02.08,2,9.25,1:02.02,1,9.26,1:01.96,4,10.28,1:36.45
2,8.83,1:10.91,3,8.90,1:10.92,1,8.89,1:10.85,4,10.76,1:47.21
3,27.47,1:38.38,2,9.53,1:20.45,1,8.93,1:19.78,4,13.52,2:00.73
3,16.23,1:54.606,2,9.71,1:30.155,1,9.54,1:29.320,4,,2:00.657
