YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME
1,12.26,12.26,2,12.29,12.29,3,12.44,12.44,4,12.58,12.58,5,12.69,12.69
2,9.60,21.86,4,9.68,21.97,3,9.49,21.93,5,9.52,22.10,1,9.09,21.78
3,9.41,31.27,4,9.40,31.37,2,9.22,31.15,5,9.37,31.47,1,9.29,31.07
3,9.43,40.70,4,9.39,40.76,1,9.36,40.51,5,9.44,40.91,2,9.47,40.54
3,9.34,50.04,5,9.38,50.14,1,9.30,49.81,4,9.21,50.12,2,9.37,49.91
3,9.22,59.26,5,9.38,59.52,1,9.20,59.01,4,9.27,59.39,2,9.25,59.16
2,8.81,1:08.07,5,8.99,1:08.51,1,9.05,1:08.06,4,9.03,1:08.42,3,9.09,1:08.25
2,9.08,1:17.15,5,9.18,1:17.69,1,8.94,1:17.00,4,9.12,1:17.54,3,9.08,1:17.33
2,9.04,1:26.19,5,9.90,1:27.59,1,9.04,1:26.04,4,9.41,1:26.95,3,9.33,1:26.66
