Nicolas BEAN POSITION,Nicolas BEAN LAP TIME,Nicolas BEAN ELAPSED TIME,Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Azamat NURMAGAMBETOV POSITION,Azamat NURMAGAMBETOV LAP TIME,Azamat NURMAGAMBETOV ELAPSED TIME
2,14.06,14.06,1,13.99,13.99,0,,,3,14.39,14.39
3,11.14,25.20,2,11.17,25.17,0,,,1,10.65,25.04
3,10.91,36.12,2,10.92,36.09,0,,,1,10.97,36.02
3,10.74,46.87,2,10.75,46.85,0,,,1,10.71,46.74
3,10.34,57.22,1,10.25,57.11,0,,,2,10.41,57.16
3,9.82,1:07.04,2,9.90,1:07.01,0,,,1,9.75,1:06.91
1,9.48,1:16.53,2,9.57,1:16.58,0,,,3,10.17,1:17.09
1,9.37,1:25.91,2,9.42,1:26.00,0,,,3,10.25,1:27.35
1,9.64,1:35.541,2,9.65,1:35.647,0,,DNS,3,10.46,1:37.810
