Kalyna ROBERGE POSITION,Kalyna ROBERGE LAP TIME,Kalyna ROBERGE ELAPSED TIME,YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME,Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME
3,8.907,8.907,1,8.437,8.437,4,9.043,9.043,2,8.854,8.854,5,9.765,9.765,0,,
4,11.016,19.923,1,10.883,19.320,2,10.504,19.547,3,10.805,19.659,5,10.845,20.610,0,,
4,9.560,29.482,1,9.666,28.986,2,9.596,29.143,3,9.527,29.187,5,9.061,29.670,0,,
4,9.477,38.959,1,9.594,38.580,2,9.537,38.680,3,9.629,38.815,5,9.335,39.005,0,,
4,9.466,48.426,1,9.553,48.133,3,9.670,48.350,2,9.532,48.347,5,9.524,48.529,0,,
5,9.707,58.133,1,9.692,57.824,3,9.552,57.902,2,9.499,57.846,4,9.485,58.014,0,,
4,9.662,1:07.796,1,9.650,1:07.474,3,9.739,1:07.641,2,9.783,1:07.630,5,9.879,1:07.893,0,,
4,9.866,1:17.661,1,9.735,1:17.209,2,9.754,1:17.395,3,9.794,1:17.424,5,9.808,1:17.701,0,,
4,9.847,1:27.509,1,9.934,1:27.143,2,9.943,1:27.338,3,9.935,1:27.359,5,9.970,1:27.671,0,,
4,9.999,1:37.507,1,10.072,1:37.215,3,10.119,1:37.456,2,10.046,1:37.405,5,10.088,1:37.759,0,,
3,10.107,1:47.614,1,10.123,1:47.338,4,10.261,1:47.718,2,10.118,1:47.523,5,10.013,1:47.772,0,,
3,10.057,1:57.671,1,10.104,1:57.442,5,10.345,1:58.063,2,10.022,1:57.545,4,10.063,1:57.836,0,,
1,9.683,2:07.354,3,10.534,2:07.976,5,10.646,2:08.709,2,9.926,2:07.471,4,10.364,2:08.199,6,,2:19.009
1,9.860,2:17.214,4,10.830,2:18.806,5,11.562,2:20.270,2,10.239,2:17.709,3,10.459,2:18.658,0,,
