Lisette BRILMAN POSITION,Lisette BRILMAN LAP TIME,Lisette BRILMAN ELAPSED TIME,Marie YOSHIDA POSITION,Marie YOSHIDA LAP TIME,Marie YOSHIDA ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Malwina ZAWADA POSITION,Malwina ZAWADA LAP TIME,Malwina ZAWADA ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,ZHANG Qichao POSITION,ZHANG Qichao LAP TIME,ZHANG Qichao ELAPSED TIME
3,10.070,10.070,1,9.887,9.887,2,9.976,9.976,4,10.235,10.235,5,10.669,10.669,6,10.689,10.689
3,14.139,24.208,2,14.050,23.937,1,13.946,23.922,4,14.054,24.289,5,13.824,24.492,6,13.820,24.508
3,13.619,37.827,1,13.773,37.710,2,13.831,37.752,4,13.639,37.928,5,13.818,38.310,6,13.949,38.457
4,13.556,51.383,1,13.366,51.076,2,13.395,51.147,5,13.563,51.491,6,13.267,51.577,3,12.864,51.322
5,11.516,1:02.899,3,11.567,1:02.643,4,11.664,1:02.811,6,11.489,1:02.980,1,10.736,1:02.313,2,11.167,1:02.488
5,11.482,1:14.381,3,11.538,1:14.181,4,11.467,1:14.279,2,11.185,1:14.164,1,11.656,1:13.969,6,12.167,1:14.655
6,12.115,1:26.497,5,12.128,1:26.309,4,12.009,1:26.288,3,11.982,1:26.146,2,12.123,1:26.091,1,11.390,1:26.045
6,11.150,1:37.647,4,11.109,1:37.418,5,11.164,1:37.452,1,10.792,1:36.938,2,11.099,1:37.191,3,11.346,1:37.391
6,11.025,1:48.672,4,11.088,1:48.506,5,11.209,1:48.661,2,11.439,1:48.377,3,11.266,1:48.456,1,10.965,1:48.356
6,10.307,1:58.979,3,10.174,1:58.679,5,10.240,1:58.902,4,10.393,1:58.770,1,10.020,1:58.476,2,10.193,1:58.549
5,10.332,2:09.311,3,10.238,2:08.917,6,10.441,2:09.342,4,10.421,2:09.191,1,10.353,2:08.829,2,10.338,2:08.886
5,10.437,2:19.748,3,10.445,2:19.362,6,10.565,2:19.908,4,10.394,2:19.585,2,10.386,2:19.215,1,10.284,2:19.170
5,10.479,2:30.227,1,10.128,2:29.490,6,10.438,2:30.346,4,10.352,2:29.936,3,10.364,2:29.580,2,10.321,2:29.491
5,10.837,2:41.064,3,10.360,2:39.850,6,10.808,2:41.154,4,11.100,2:41.036,2,10.199,2:39.779,1,10.055,2:39.547
