Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME
3,13.75,13.75,4,13.94,13.94,5,14.08,14.08,2,13.68,13.68,1,13.64,13.64
3,10.18,23.93,4,10.22,24.16,5,10.21,24.29,2,10.12,23.80,1,10.16,23.80
3,10.31,34.24,4,10.15,34.31,5,10.17,34.46,2,10.38,34.18,1,10.26,34.06
3,10.05,44.29,4,10.00,44.31,5,9.97,44.43,2,10.03,44.21,1,10.06,44.12
5,10.59,54.88,3,10.36,54.67,4,10.34,54.77,2,10.39,54.60,1,10.36,54.48
4,10.25,1:05.13,3,10.37,1:05.04,5,10.44,1:05.21,2,10.35,1:04.95,1,10.36,1:04.84
4,9.88,1:15.01,3,9.92,1:14.96,5,9.93,1:15.14,2,9.97,1:14.92,1,9.85,1:14.69
4,9.87,1:24.88,3,9.81,1:24.77,5,9.85,1:24.99,2,9.83,1:24.75,1,9.96,1:24.65
4,10.28,1:35.160,0,,PEN,2,9.75,1:34.740,3,10.05,1:34.799,1,9.94,1:34.588
